key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,key_resp.started,grating.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,30,29,down,0.01,db,0.04835818633250087,0.0009003998711705208,84.29107809998095,84.29107809998095,84.590509200003,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,31,30,down,0.01,db,0.04830254394949061,0.0007994999177753925,86.60739249968901,86.60739249968901,86.90741319954395,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,32,31,down,0.01,db,0.04824696559027904,0.0008522002026438713,89.00761449988931,89.00761449988931,89.30732979997993,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,33,32,down,0.01,db,0.048191451181198455,0.0008200001902878284,91.3404943998903,91.3404943998903,91.64074780000374,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,34,33,down,0.01,db,0.04813600064866592,0.0007843999192118645,93.70724339969456,93.70724339969456,94.00720719993114,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,35,34,down,0.01,db,0.048080613919183154,0.0008141999132931232,96.0407893997617,96.0407893997617,,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,36,35,down,0.01,db,0.04802529091933645,0.0007540998049080372,98.32397489994764,98.32397489994764,98.62387739960104,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,37,36,down,0.01,db,0.04797003157579657,0.0008026999421417713,100.69079859973863,100.69079859973863,100.99060499994084,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,38,37,down,0.01,db,0.04791483581531866,0.0009159999899566174,103.00753879966214,103.00753879966214,103.30770719982684,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,39,38,down,0.01,db,0.04785970356474213,0.0008093998767435551,105.32391419960186,105.32391419960186,105.62387719983235,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
